   22  983    0
   -.4139465E-01   -.3798805E+00   -.6128170E+01   -.1295982E+01
   -.4866835E-01    .1245712E+01   -.7250236E+01   -.1295982E+01
   -.5095796E-01    .3206553E+01   -.7488325E+01   -.1295982E+01
   -.4803362E-01    .5053437E+01   -.6787894E+01   -.1295982E+01
   -.3628656E-01    .6363266E+01   -.5309404E+01   -.1295982E+01
   -.3033751E-01    .3168876E-01   -.5336822E+01   -.2993278E+01
   -.4371459E-01    .1686430E+01   -.6539062E+01   -.2993278E+01
   -.4584105E-01    .3731802E+01   -.6539062E+01   -.2993278E+01
   -.3915152E-01    .5386543E+01   -.5336822E+01   -.2993278E+01
   -.2603529E-01    .4545740E+01   -.3391558E+01   -.4167843E+01
   -.3278981E-01    .1790804E+01   -.4982121E+01   -.4167843E+01
   -.3699003E-01    .3627428E+01   -.4982121E+01   -.4167843E+01
   -.2367405E-01    .2709116E+01   -.3391558E+01   -.4587040E+01
    .1591817E-02    .5645919E+01    .7803424E+00   -.3812116E+01
   -.4755717E-02    .4067857E+01    .7803424E+00   -.5070578E+01
    .5202382E-02    .3083951E+01    .2484517E+01   -.5070578E+01
   -.6573368E-02    .3083951E+01   -.9238322E+00   -.5070578E+01
    .1009386E-01    .4066376E+01    .6651180E+01    .2492538E+01
    .1217157E-01    .3577272E+01    .7736513E+01    .6740072E+00
    .9332362E-02    .1609461E+01    .7736513E+01    .6740072E+00
    .7237102E-02    .4561178E+01    .3425741E+01   -.4421404E+01
    .1207065E-01    .5496676E+01    .5321662E+01    .3060045E+01
    .1781572E-01    .7731785E+01    .3750573E+01    .1732004E+01
    .1562984E-01    .7131683E+01    .5597499E+01    .1732004E+01
    .1332643E-01    .5560594E+01    .6738962E+01    .1732004E+01
    .1708560E-01    .7731785E+01    .5564710E+01   -.8213252E-01
    .1509491E-01    .6403745E+01    .6892751E+01   -.8213252E-01
    .1860619E-01    .7731785E+01    .3750573E+01   -.1896269E+01
    .1563629E-01    .7131683E+01    .5597499E+01   -.1896269E+01
    .1456319E-01    .5560594E+01    .6738962E+01   -.1896269E+01
    .1291778E-01    .6403745E+01    .3750573E+01   -.3224310E+01
