    6  452    0
    .3941236E-02   -.5030758E+00    .5226763E+01    .2750835E+00
    .3941236E-02   -.5030758E+00   -.5226763E+01   -.2750835E+00
    .2404363E-02    .1468471E+01   -.4943297E+01   -.2750835E+00
    .2200793E-03   -.3055277E+01   -.4434533E+01   -.2315988E+01
    .3926428E-02   -.1447429E+01   -.5544351E+01   -.2315988E+01
    .4681049E-02    .4920076E+00   -.5779841E+01   -.2315988E+01
    .2429377E-02    .2318731E+01   -.5087056E+01   -.2315988E+01
   -.2637500E-02    .3614262E+01   -.3624705E+01   -.2315988E+01
    .2273738E-03   -.3391759E+01   -.2723704E+01   -.4356892E+01
    .3730176E-02   -.2314900E+01   -.4399330E+01   -.4356892E+01
    .5581176E-02   -.5030758E+00   -.5226763E+01   -.4356892E+01
    .4943788E-02    .1468471E+01   -.4943297E+01   -.4356892E+01
    .2077455E-02    .2973789E+01   -.3638932E+01   -.4356892E+01
    .2998953E-02    .2040904E+01   -.1727794E+01   -.5850937E+01
    .2998953E-02   -.2040904E+01   -.1727794E+01   -.5850937E+01
    .5033025E-02   -.1020452E+01   -.3495268E+01   -.5850937E+01
    .5033025E-02    .1020452E+01   -.3495268E+01   -.5850937E+01
    .4429306E-02    .4998772E-15   -.1727794E+01   -.6397796E+01
    .2404363E-02    .1468471E+01    .4943297E+01   -.2750835E+00
    .3941236E-02   -.5030758E+00    .5226763E+01   -.2750835E+00
   -.2637500E-02    .3614262E+01    .3624705E+01   -.2315988E+01
    .2429377E-02    .2318731E+01    .5087056E+01   -.2315988E+01
    .4681049E-02    .4920076E+00    .5779841E+01   -.2315988E+01
    .3926428E-02   -.1447429E+01    .5544351E+01   -.2315988E+01
    .2200793E-03   -.3055277E+01    .4434533E+01   -.2315988E+01
    .2077455E-02    .2973789E+01    .3638932E+01   -.4356892E+01
    .4943788E-02    .1468471E+01    .4943297E+01   -.4356892E+01
    .5581176E-02   -.5030758E+00    .5226763E+01   -.4356892E+01
    .3730176E-02   -.2314900E+01    .4399330E+01   -.4356892E+01
    .2273738E-03   -.3391759E+01    .2723704E+01   -.4356892E+01
    .2998953E-02    .2040904E+01    .1727794E+01   -.5850937E+01
    .5033025E-02    .1020452E+01    .3495268E+01   -.5850937E+01
    .5033025E-02   -.1020452E+01    .3495268E+01   -.5850937E+01
    .2998953E-02   -.2040904E+01    .1727794E+01   -.5850937E+01
    .4429306E-02    .4998772E-15    .1727794E+01   -.6397796E+01
    .4429306E-02    .0000000E+00   -.1727794E+01    .6397796E+01
    .2998953E-02    .2040904E+01   -.1727794E+01    .5850937E+01
    .2998953E-02   -.2040904E+01   -.1727794E+01    .5850937E+01
    .5033025E-02   -.1020452E+01   -.3495268E+01    .5850937E+01
    .5033025E-02    .1020452E+01   -.3495268E+01    .5850937E+01
    .2273738E-03   -.3391759E+01   -.2723704E+01    .4356892E+01
    .3730176E-02   -.2314900E+01   -.4399330E+01    .4356892E+01
    .5581176E-02   -.5030758E+00   -.5226763E+01    .4356892E+01
    .4943788E-02    .1468471E+01   -.4943297E+01    .4356892E+01
    .2077455E-02    .2973789E+01   -.3638932E+01    .4356892E+01
    .2200793E-03   -.3055277E+01   -.4434533E+01    .2315988E+01
    .3926428E-02   -.1447429E+01   -.5544351E+01    .2315988E+01
    .4681049E-02    .4920076E+00   -.5779841E+01    .2315988E+01
    .2429377E-02    .2318731E+01   -.5087056E+01    .2315988E+01
   -.2637500E-02    .3614262E+01   -.3624705E+01    .2315988E+01
    .3941236E-02   -.5030758E+00   -.5226763E+01    .2750835E+00
    .2404363E-02    .1468471E+01   -.4943297E+01    .2750835E+00
    .3141808E-02    .0000000E+00    .0000000E+00    .6913345E+01
    .2178935E-02    .1938973E+01    .0000000E+00    .6571452E+01
    .2178935E-02   -.1938973E+01    .2374557E-15    .6571452E+01
   -.4083831E-03    .3644077E+01    .0000000E+00    .5587010E+01
   -.3472653E-05   -.3496467E+01    .1026655E+01    .5587010E+01
   -.3472653E-05   -.3496467E+01   -.1026655E+01    .5587010E+01
   -.4006259E-02    .4909652E+01    .0000000E+00    .4078756E+01
   -.2701747E-02    .4485190E+01    .1996935E+01    .4078756E+01
   -.3680425E-02   -.4802364E+01    .1020774E+01    .4078756E+01
   -.3680425E-02   -.4802364E+01   -.1020774E+01    .4078756E+01
   -.2701747E-02    .4485190E+01   -.1996935E+01    .4078756E+01
   -.8012134E-02    .5583050E+01    .0000000E+00    .2228610E+01
   -.6707509E-02    .5206039E+01    .2016830E+01    .2228610E+01
   -.3025939E-02    .4125924E+01    .3761277E+01    .2228610E+01
   -.5125816E-02   -.4746805E+01    .2939097E+01    .2228610E+01
   -.7683066E-02   -.5487988E+01    .1025883E+01    .2228610E+01
   -.7683066E-02   -.5487988E+01   -.1025883E+01    .2228610E+01
   -.5125816E-02   -.4746805E+01   -.2939097E+01    .2228610E+01
   -.3025939E-02    .4125924E+01   -.3761277E+01    .2228610E+01
   -.6707509E-02    .5206039E+01   -.2016830E+01    .2228610E+01
   -.1156287E-01    .5583050E+01    .0000000E+00    .2597248E+00
   -.9919929E-02    .5206039E+01    .2016830E+01    .2597248E+00
   -.5481245E-02    .4125924E+01    .3761277E+01    .2597248E+00
