   29 1250
    -.8802663E-01    .2430354E+01    .6739517E+01   -.1959285E+01
    -.9325589E-01    .4516679E+01    .5899411E+01   -.3546655E+01
    -.9919880E-01    .2430354E+01    .5221523E+01   -.3546655E+01
    -.1056514E+00    .3940033E+01    .4124677E+01   -.4152977E+01
    -.1408203E+00   -.3419687E+00   -.3824524E+00    .4311550E+01
    -.1609251E+00    .1625843E+01   -.3824524E+00    .3862409E+01
    -.1350411E+00   -.1325875E+01   -.2086628E+01    .3862409E+01
    -.1541877E+00    .6419373E+00   -.2086628E+01    .3862409E+01
    -.1340859E+00   -.8465994E+00   -.3892235E+01    .2603946E+01
    -.1223529E+00   -.1325875E+01    .1321723E+01   -.4309999E+01
    -.1191758E+00   -.1325875E+01   -.2086628E+01   -.4309999E+01
    -.1297063E+00    .6419373E+00   -.2086628E+01   -.4309999E+01
    -.1226253E+00   -.3419687E+00   -.3824524E+00   -.4759139E+01
    -.1242221E+00   -.3013712E+01   -.6673325E+00    .4362973E+01
    -.1302880E+00   -.2029806E+01    .1036843E+01    .3913833E+01
    -.1294041E+00   -.2029806E+01   -.2371508E+01    .3913833E+01
    -.1209962E+00   -.2029806E+01    .1036843E+01   -.4258576E+01
    -.1143023E+00   -.4981524E+01   -.6673325E+00   -.4258576E+01
    -.1150616E+00   -.3013712E+01   -.6673325E+00   -.4707716E+01
    -.1181361E+00   -.4165565E+01   -.3077458E+01    .4082925E+01
    -.1271625E+00   -.2197752E+01   -.3077458E+01    .3633785E+01
    -.1098551E+00   -.5149471E+01   -.4781633E+01    .3633785E+01
    -.1147670E+00   -.3181658E+01   -.4781633E+01    .3633785E+01
    -.9739295E-01   -.4670195E+01   -.6587241E+01    .2375321E+01
    -.8630731E-01   -.4670195E+01   -.6587241E+01   -.3280160E+01
    -.1114759E+00   -.2197752E+01   -.3077458E+01   -.4538624E+01
    -.1122317E+00   -.5149471E+01   -.1373283E+01   -.4538624E+01
    -.9846904E-01   -.5149471E+01   -.4781633E+01   -.4538624E+01
    -.1010269E+00   -.3181658E+01   -.4781633E+01   -.4538624E+01
    -.1065219E+00   -.4165565E+01   -.3077458E+01   -.4987764E+01
    -.1067620E+00   -.6721855E+01   -.3333760E+01    .4125538E+01
    -.1185540E+00   -.5737949E+01   -.1629584E+01    .3676398E+01
    -.9193937E-01   -.7705761E+01   -.5037935E+01    .3676398E+01
    -.1048761E+00   -.5737949E+01   -.5037935E+01    .3676398E+01
    -.9557132E-01   -.5248845E+01   -.6559201E+01    .2417935E+01
    -.7212583E-01   -.1012410E+02   -.4332748E+01   -.3237547E+01
    -.8475070E-01   -.5248845E+01   -.6559201E+01   -.3237547E+01
    -.1115099E+00   -.5737949E+01   -.1629584E+01   -.4496010E+01
    -.8739731E-01   -.8689667E+01   -.3333760E+01   -.4496010E+01
    -.8417406E-01   -.7705761E+01   -.5037935E+01   -.4496010E+01
    -.9473668E-01   -.5737949E+01   -.5037935E+01   -.4496010E+01
    -.9843944E-01   -.6721855E+01   -.3333760E+01   -.4945151E+01
    -.9946468E-01   -.8287157E+01   -.1187678E+01    .4453240E+01
    -.1147153E+00   -.6319345E+01   -.1187678E+01    .4004099E+01
    -.8285627E-01   -.1025497E+02   -.1187678E+01    .4004099E+01
    -.8890401E-01   -.9271063E+01   -.2891854E+01    .4004099E+01
    -.7386861E-01   -.1060921E+02   -.3867472E+01    .2745636E+01
